Domain Code,Domain,Area Code (M49),Area,Year Code,Year,Item Code,Item,Months Code,Months,Unit,Value,Flag,Flag Description,Note
"CP","Consumer Price Indices","356","India","2002","2002","23014","Food price inflation","7011","November","%","10.410443","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2003","2003","23014","Food price inflation","7011","November","%","7.355558","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2004","2004","23014","Food price inflation","7011","November","%","4.906956","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2005","2005","23014","Food price inflation","7011","November","%","4.631342","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2006","2006","23014","Food price inflation","7011","November","%","4.26544","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2007","2007","23014","Food price inflation","7011","November","%","3.45409","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2008","2008","23014","Food price inflation","7011","November","%","3.713634","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2009","2009","23014","Food price inflation","7011","November","%","4.233256","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2010","2010","23014","Food price inflation","7011","November","%","5.443881","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2011","2011","23014","Food price inflation","7011","November","%","7.929479","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2012","2012","23014","Food price inflation","7011","November","%","10.515247","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2013","2013","23014","Food price inflation","7011","November","%","16.650809","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2014","2014","23014","Food price inflation","7011","November","%","2.039152","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2015","2015","23014","Food price inflation","7011","November","%","6.07514","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2016","2016","23014","Food price inflation","7011","November","%","2.56217","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2017","2017","23014","Food price inflation","7011","November","%","4.408523","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2018","2018","23014","Food price inflation","7011","November","%","-1.688951","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2019","2019","23014","Food price inflation","7011","November","%","8.732999","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2000","2000","23014","Food price inflation","7012","December","","","","",""
"CP","Consumer Price Indices","356","India","2001","2001","23014","Food price inflation","7012","December","%","11.153494","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2002","2002","23014","Food price inflation","7012","December","%","7.827884","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2003","2003","23014","Food price inflation","7012","December","%","5.199174","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2004","2004","23014","Food price inflation","7012","December","%","4.893516","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2005","2005","23014","Food price inflation","7012","December","%","4.495636","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2006","2006","23014","Food price inflation","7012","December","%","3.632479","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2007","2007","23014","Food price inflation","7012","December","%","3.898705","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2008","2008","23014","Food price inflation","7012","December","%","4.436307","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2009","2009","23014","Food price inflation","7012","December","%","5.693908","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2010","2010","23014","Food price inflation","7012","December","%","5.905067","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2011","2011","23014","Food price inflation","7012","December","%","4.6627","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2012","2012","23014","Food price inflation","7012","December","%","12.179487","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2013","2013","23014","Food price inflation","7012","December","%","12.761905","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2014","2014","23014","Food price inflation","7012","December","%","4.391892","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2015","2015","23014","Food price inflation","7012","December","%","6.31068","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2016","2016","23014","Food price inflation","7012","December","%","1.978691","Fc","Calculated data",""
"CP","Consumer Price Indices","356","India","2017","2017","23014","Food price inflation","7012","December","%","4.850746","Fc","Calculated data",""
