CropItem,Year,AreaHarvested(ha)
Figs,1997,3694.0
Figs,1998,3819.0
Figs,1999,4290.0
Figs,2000,4543.0
Figs,2001,4751.0
Figs,2002,4955.0
Figs,2003,5153.0
Figs,2004,5328.0
Figs,2005,5366.0
Figs,2006,5154.0
Figs,2007,5356.0
Figs,2008,5323.0
Figs,2009,5361.0
Figs,2010,5407.0
Figs,2011,5451.0
Figs,2012,5500.0
Figs,2013,5500.0
Figs,2014,5600.0
Figs,2015,5649.0
Figs,2016,5632.0
Figs,2017,5665.0
Figs,2018,5700.0
Figs,2019,5734.0
"Fruit, citrus nes",1990,6700.0
"Fruit, citrus nes",1991,6800.0
"Fruit, citrus nes",1992,8000.0
"Fruit, citrus nes",1993,7100.0
"Fruit, citrus nes",1994,7500.0
"Fruit, citrus nes",1995,7938.0
"Fruit, citrus nes",1996,8286.0
"Fruit, citrus nes",1997,8290.0
"Fruit, citrus nes",1998,8444.0
"Fruit, citrus nes",1999,7500.0
"Fruit, citrus nes",2000,8000.0
"Fruit, citrus nes",2001,6647.0
"Fruit, citrus nes",2002,7565.0
"Fruit, citrus nes",2003,9600.0
"Fruit, citrus nes",2004,9600.0
"Fruit, citrus nes",2005,10000.0
"Fruit, citrus nes",2006,31000.0
"Fruit, citrus nes",2007,31000.0
"Fruit, citrus nes",2008,36200.0
"Fruit, citrus nes",2009,50700.0
"Fruit, citrus nes",2010,63000.0
"Fruit, citrus nes",2011,47000.0
"Fruit, citrus nes",2012,77000.0
"Fruit, citrus nes",2013,68000.0
"Fruit, citrus nes",2014,57000.0
"Fruit, citrus nes",2015,60000.0
"Fruit, citrus nes",2016,99150.0
"Fruit, citrus nes",2017,136000.0
"Fruit, citrus nes",2018,103000.0
"Fruit, citrus nes",2019,112000.0
"Fruit, fresh nes",1990,366539.0
"Fruit, fresh nes",1991,410000.0
"Fruit, fresh nes",1992,535000.0
"Fruit, fresh nes",1993,488741.0
"Fruit, fresh nes",1994,491527.0
"Fruit, fresh nes",1995,515724.0
"Fruit, fresh nes",1996,550000.0
"Fruit, fresh nes",1997,570000.0
"Fruit, fresh nes",1998,780000.0
"Fruit, fresh nes",1999,750000.0
"Fruit, fresh nes",2000,650000.0
"Fruit, fresh nes",2001,700000.0
"Fruit, fresh nes",2002,630000.0
"Fruit, fresh nes",2003,480000.0
"Fruit, fresh nes",2004,751100.0
"Fruit, fresh nes",2005,921700.0
"Fruit, fresh nes",2006,1005800.0
"Fruit, fresh nes",2007,1016200.0
"Fruit, fresh nes",2008,1112000.0
"Fruit, fresh nes",2009,1083000.0
